country,name,full_name,isin,currency,symbol
argentina,Royal Dutch Shell A DRC,Royal Dutch Shell A DRC,ARDEUT112547,ARS,RDS
argentina,Koninklijke Philips DRC,Koninklijke Philips NV DRC,ARDEUT110558,ARS,PHG
argentina,Novartis DRC,Novartis DRC,ARDEUT112521,ARS,NVS
argentina,Siemens CEDEAR,Siemens AG CEDEAR,ARDEUT112372,ARS,SIEGY
argentina,Total CEDEAR DRC,Total CEDEAR DRC,ARDEUT112075,ARS,TOT
argentina,Banco Bilbao Vizcaya DRC,Banco Bilbao Vizcaya Argentaria DRC,ARDEUT112232,ARS,BBV
argentina,Nokia CEDEAR,Nokia Oyj CEDEAR,ARDEUT110533,ARS,NOKA
argentina,BHP Billiton Ltd CEDEAR,BHP Billiton Ltd CEDEAR,ARDEUT112992,ARS,BHP
argentina,SAP AG DRC,SAP DRC,ARDEUT112034,ARS,SAP
argentina,Apple DRC,Apple Inc DRC,ARDEUT116183,ARS,AAPL
argentina,National Grid DRC,National Grid PLC DRC,ARDEUT112620,ARS,NGG
argentina,Unilever NV CEDEAR,Unilever NV CEDEAR,ARDEUT112091,ARS,UN
argentina,Colgate-Palmolive DRC,Colgate-Palmolive Company DRC,ARDEUT110855,ARS,CL
argentina,DowDuPont,DowDuPont Inc,ARDEUT110145,ARS,DD
argentina,Pfizer DRC,Pfizer Inc. DRC,ARDEUT111424,ARS,PFE
argentina,Wal Mart Stores DRC,Wal Mart Stores Inc DRC,ARDEUT110400,ARS,WMT
argentina,Home Depot DRC,Home Depot Inc DRC,ARDEUT111705,ARS,HD
argentina,IBM DRC,International Business Machines DRC,ARDEUT110202,ARS,IBM
argentina,Sony Corp DRC,Sony Co DRC,ARDEUT112984,ARS,SNE
argentina,Verizon DRC,Verizon Communications Inc DRC,ARDEUT112927,ARS,VZ
argentina,Bristol-Myers Squibb DRC,Bristol-Myers Squibb Co DRC,ARDEUT112877,ARS,BMY
argentina,Newmont Mining DRC,Newmont Mining DRC,ARDEUT112570,ARS,NEM
argentina,Johnson & Johnson DRC,Johnson & Johnson Co DRC,ARDEUT110236,ARS,JNJ
argentina,General Electric DRC,General Electric Co DRC,ARDEUT110160,ARS,GE
argentina,Yamana Gold DRC,Yamana Gold Inc DRC,ARDEUT115375,ARS,AUY
argentina,HP DRC,HP Inc DRC,ARDEUT110194,ARS,HPQ
argentina,Toyota DRC,Toyota Motor Corporation DRC,ARDEUT112083,ARS,TM
argentina,PepsiCo DRC,PepsiCo Inc DRC,ARDEUT111416,ARS,PEP
argentina,PetroChina Co DRC,PetroChina Co DRC,ARDEUT113958,ARS,PTR
argentina,China Mobile CEDEAR,China Mobile Ltd CEDEAR,ARDEUT111812,ARS,CHL
argentina,Nike DRC,Nike Inc DRC,ARDEUT111341,ARS,NKE
argentina,Procter & Gamble DRC,Procter & Gamble DRC,ARDEUT110335,ARS,PG
argentina,Vale DRC,Vale,ARDEUT113925,ARS,VALE
argentina,Gazprom OAO DRC,Gazprom OAO DRC,ARDEUT114261,ARS,OGZD
argentina,Barrick Gold DRC,Barrick Gold DRC,ARDEUT112562,ARS,GOLD
argentina,Banco Bradesco DRC,Banco Bradesco DRC,ARDEUT116001,ARS,BBD
argentina,Ovoprot Int SA,Ovoprot International SA,AROVOP010038,ARS,OVOP
argentina,Bodegas Esmeralda,Bodegas Esmeralda SA,ARESME010022,ARS,ESME
argentina,AIG,American International Group Inc,ARDEUT110640,ARS,AIG
argentina,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,ARS,APBRA
argentina,American Express DRC,American Express Co DRC,ARDEUT110046,ARS,AXP
argentina,Bancontander Brasil,Banco Santander Brasil SA,ARDEUT115995,ARS,BSBR
argentina,Artefactos Domesticos,Domec Compania de Artefactos Domesticos SAIC y F,ARP3577N1097,ARS,DOME
argentina,Alphabet A,Alphabet Inc BA,ARDEUT116159,ARS,GOOGL
argentina,Honda Motor Co DRC,Honda Motor Co DRC,ARDEUT112950,ARS,HMC
argentina,Compania Introductora de BA,Compania Introductora de Buenos Aires SA,ARP577611352,ARS,INTR
argentina,Coca-Cola DRC,Coca Cola Co DRC,ARDEUT110111,ARS,KO
argentina,Lockheed Martin DRC,Lockheed Martin Corp DRC,ARDEUT111200,ARS,LMT
argentina,MercadoLibre DRC,MercadoLibre Inc DRC,ARDEUT116175,ARS,MELI
argentina,Bancontander Rio Pref,Banco Santander Rio SA Pref,ARBRIO010475,ARS,BRIO6
argentina,TGLT,TGLT SA,ARTGLT010015,ARS,TGLT
argentina,Ternium DRC,Ternium SA DRC,ARDEUT116019,ARS,TXR
argentina,Grupo Supervielle,Grupo Supervielle S.A. B,ARGRSU300079,ARS,SUPV
argentina,Havanna,Havanna Holding SA,ARHAVH300038,ARS,HAVA
argentina,Phoenix Resources,Phoenix Global Resources PLC,GB00B7LHJ340,ARS,PGR
argentina,Emdersa,Empresa Distribuidora Electrica Regional SA,AREDER010016,ARS,EMDE
argentina,Insumos Agroquimicos,Insumos Agroquimicos SA,ARINAG010041,ARS,INAG
argentina,Meranol,Meranol SACI,ARMERA010027,ARS,MERA
argentina,BYMA,Bolsas y Mercados Argentinos SA,ARBYMA300018,ARS,BYMA
argentina,Molinos Agro,Molinos Agro SA,ARMOAG300023,ARS,MOLA
argentina,Cablevision,Cablevision Holding SA,ARCABH300011,ARS,CVH
argentina,Grupo Valores,Grupo Financiero Valores Sociedad Anonima,ARP6479Z1046,ARS,VALO
argentina,Loma Negra,Loma Negra Compania Industrial Argentina SA,ARLOMA300018,ARS,LOMA
argentina,Loma Negra,Loma Negra Compania Industrial Argentina SA,ARLOMA300018,ARS,LOMAh
argentina,Laboratorios Richmond,Laboratorios Richmond SACIF,ARLRIC300027,ARS,RICH
argentina,EDESAL,EDESAL Holding SA,AREDHO010016,ARS,EDLH
argentina,Edesa,Edesa Holding SA,AREDEH010018,ARS,EDSH
argentina,Amazon.com,Amazon.com Inc,ARBCOM460176,ARS,AMZN
argentina,Arcos Dorados,Arcos Dorados Holdings Inc,ARBCOM460135,ARS,ARCO
argentina,Alibaba Cedear,Alibaba Group Holding Ltd,ARBCOM4601T8,USD,BABA
argentina,Gerdau DRC,Gerdau SA,ARBCOM460200,USD,GGB
argentina,BRF,BRF SA,ARBCOM460218,USD,BRFS
argentina,Ternium Argentina,Ternium Argentina SA,ARBCOM4602B4,ARS,SID
brazil,ABC BRASIL PN,Banco ABC Brasil SA,BRABCBACNPR4,BRL,ABCB4
brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,BRAGROACNOR7,BRL,AGRO3
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3
brazil,ALPARGATAS ON,Alpargatas SA,BRALPAACNOR0,BRL,ALPA3
brazil,ALPARGATAS PN,Alpargatas SA,BRALPAACNPR7,BRL,ALPA4
brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,BRALSOACNOR5,BRL,ALSO3
brazil,LOJAS MARISA ON,Marisa Lojas SA,BRAMARACNOR4,BRL,AMAR3
brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3
brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,BRADHMACNOR9,BRL,ADHM3
brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,BRARZZACNOR3,BRL,ARZZ3
brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3
