name,full_name,base,base_name,second,second_name
GBP/PLN,GBP/PLN - British Pound Polish Zloty,GBP,British Pound,PLN,Polish Zloty
GBP/NOK,GBP/NOK - British Pound Norwegian Krone,GBP,British Pound,NOK,Norwegian Krone
GBP/THB,GBP/THB - British Pound Thai Baht,GBP,British Pound,THB,Thai Baht
GBP/ZAR,GBP/ZAR - British Pound South African Rand,GBP,British Pound,ZAR,South African Rand
GBP/TRY,GBP/TRY - British Pound Turkish Lira,GBP,British Pound,TRY,Turkish Lira
GBP/SEK,GBP/SEK - British Pound Swedish Krona,GBP,British Pound,SEK,Swedish Krona
GBP/HKD,GBP/HKD - British Pound Hong Kong Dollar,GBP,British Pound,HKD,Hong Kong Dollar
GBP/HUF,GBP/HUF - British Pound Hungarian Forint,GBP,British Pound,HUF,Hungarian Forint
GBP/GMD,GBP/GMD - British Pound Gambian Dalasi,GBP,British Pound,GMD,Gambian Dalasi
GBP/GTQ,GBP/GTQ - British Pound Guatemalan Quetzal,GBP,British Pound,GTQ,Guatemalan Quetzal
GBP/HNL,GBP/HNL - British Pound Honduran Lempira,GBP,British Pound,HNL,Honduran Lempira
GBP/HRK,GBP/HRK - British Pound Croatian Kuna,GBP,British Pound,HRK,Croatian Kuna
GBP/HTG,GBP/HTG - British Pound Haitian Gourde,GBP,British Pound,HTG,Haitian Gourde
GBP/IDR,GBP/IDR - British Pound Indonesian Rupiah,GBP,British Pound,IDR,Indonesian Rupiah
GBP/INR,GBP/INR - British Pound Indian Rupee,GBP,British Pound,INR,Indian Rupee
GBP/IQD,GBP/IQD - British Pound Iraqi Dinar,GBP,British Pound,IQD,Iraqi Dinar
GBP/IRR,GBP/IRR - British Pound Iranian Rial,GBP,British Pound,IRR,Iranian Rial
GBP/ISK,GBP/ISK - British Pound Icelandic Kr,GBP,British Pound,ISK,Icelandic Kr
GBP/JMD,GBP/JMD - British Pound Jamaican Dollar,GBP,British Pound,JMD,Jamaican Dollar
GBP/JOD,GBP/JOD - British Pound Jordan Dinar,GBP,British Pound,JOD,Jordan Dinar
GBP/KES,GBP/KES - British Pound Kenyan Shilling,GBP,British Pound,KES,Kenyan Shilling
GBP/KRW,GBP/KRW - British Pound Korean Won,GBP,British Pound,KRW,Korean Won
GBP/KWD,GBP/KWD - British Pound Kuwaiti Dinar,GBP,British Pound,KWD,Kuwaiti Dinar
GBP/KZT,GBP/KZT - British Pound Kazakh Tenge,GBP,British Pound,KZT,Kazakh Tenge
GBP/LBP,GBP/LBP - British Pound Lebanese Pound,GBP,British Pound,LBP,Lebanese Pound
GBP/LKR,GBP/LKR - British Pound Sri Lankan Rupee,GBP,British Pound,LKR,Sri Lankan Rupee
GBP/MAD,GBP/MAD - British Pound Moroccan Dirham,GBP,British Pound,MAD,Moroccan Dirham
GBP/MUR,GBP/MUR - British Pound Mauritian Rupee,GBP,British Pound,MUR,Mauritian Rupee
GBP/MWK,GBP/MWK - British Pound Malawian Kwacha,GBP,British Pound,MWK,Malawian Kwacha
GBP/MXN,GBP/MXN - British Pound Mexican Peso,GBP,British Pound,MXN,Mexican Peso
GBP/MYR,GBP/MYR - British Pound Malaysian Ringgit,GBP,British Pound,MYR,Malaysian Ringgit
GBP/NGN,GBP/NGN - British Pound Nigerian Naira,GBP,British Pound,NGN,Nigerian Naira
GBP/NIO,GBP/NIO - British Pound Nicaraguan Córdoba,GBP,British Pound,NIO,Nicaraguan Córdoba
GBP/OMR,GBP/OMR - British Pound Omani Rial,GBP,British Pound,OMR,Omani Rial
GBP/PEN,GBP/PEN - British Pound Peru Sol,GBP,British Pound,PEN,Peru Sol
GBP/PGK,GBP/PGK - British Pound Papua New Guinean Kina,GBP,British Pound,PGK,Papua New Guinean Kina
GBP/PHP,GBP/PHP - British Pound Philippine Peso,GBP,British Pound,PHP,Philippine Peso
GBP/PKR,GBP/PKR - British Pound Pakistani Rupee,GBP,British Pound,PKR,Pakistani Rupee
GBP/QAR,GBP/QAR - British Pound Qatari Riyal,GBP,British Pound,QAR,Qatari Riyal
GBP/RON,GBP/RON - British Pound Romanian Leu,GBP,British Pound,RON,Romanian Leu
GBP/RUB,GBP/RUB - British Pound Russian Ruble,GBP,British Pound,RUB,Russian Ruble
GBP/SAR,GBP/SAR - British Pound Saudi Riyal,GBP,British Pound,SAR,Saudi Riyal
GBP/SCR,GBP/SCR - British Pound Seychelles Rupee,GBP,British Pound,SCR,Seychelles Rupee
GBP/SZL,GBP/SZL - British Pound Swazi Lilangeni,GBP,British Pound,SZL,Swazi Lilangeni
GBP/TND,GBP/TND - British Pound Tunisian Dinar,GBP,British Pound,TND,Tunisian Dinar
GBP/TTD,GBP/TTD - British Pound Trinidad Dollar,GBP,British Pound,TTD,Trinidad Dollar
GBP/TWD,GBP/TWD - British Pound Taiwan Dollar,GBP,British Pound,TWD,Taiwan Dollar
GBP/TZS,GBP/TZS - British Pound Tanzanian Shilling,GBP,British Pound,TZS,Tanzanian Shilling
GBP/UAH,GBP/UAH - British Pound Ukrainian Hryvnia,GBP,British Pound,UAH,Ukrainian Hryvnia
GBP/UGX,GBP/UGX - British Pound Ugandan Shilling,GBP,British Pound,UGX,Ugandan Shilling
GBP/VND,GBP/VND - British Pound Vietnamese Dong,GBP,British Pound,VND,Vietnamese Dong
GBP/XAF,GBP/XAF - British Pound Central African Franc,GBP,British Pound,XAF,Central African Franc
GBP/XPF,GBP/XPF - British Pound French Pacific Franc,GBP,British Pound,XPF,French Pacific Franc
