name,full_name,base,base_name,second,second_name
IDR/INR,IDR/INR - Indonesian Rupiah Indian Rupee,IDR,Indonesian Rupiah,INR,Indian Rupee
IDR/JPY,IDR/JPY - Indonesian Rupiah Japanese Yen,IDR,Indonesian Rupiah,JPY,Japanese Yen
IDR/KRW,IDR/KRW - Indonesian Rupiah Korean Won,IDR,Indonesian Rupiah,KRW,Korean Won
IDR/THB,IDR/THB - Indonesian Rupiah Thai Baht,IDR,Indonesian Rupiah,THB,Thai Baht
IDR/TWD,IDR/TWD - Indonesian Rupiah Taiwan Dollar,IDR,Indonesian Rupiah,TWD,Taiwan Dollar
JPY/IDR,JPY/IDR - Japanese Yen Indonesian Rupiah,JPY,Japanese Yen,IDR,Indonesian Rupiah
KRW/IDR,KRW/IDR - Korean Won Indonesian Rupiah,KRW,Korean Won,IDR,Indonesian Rupiah
MYR/IDR,MYR/IDR - Malaysian Ringgit Indonesian Rupiah,MYR,Malaysian Ringgit,IDR,Indonesian Rupiah
NZD/IDR,NZD/IDR - New Zealand Dollar Indonesian Rupiah,NZD,New Zealand Dollar,IDR,Indonesian Rupiah
SGD/IDR,SGD/IDR - Singapore Dollar Indonesian Rupiah,SGD,Singapore Dollar,IDR,Indonesian Rupiah
THB/IDR,THB/IDR - Thai Baht Indonesian Rupiah,THB,Thai Baht,IDR,Indonesian Rupiah
TWD/IDR,TWD/IDR - Taiwan Dollar Indonesian Rupiah,TWD,Taiwan Dollar,IDR,Indonesian Rupiah
USD/IDR,USD/IDR - US Dollar Indonesian Rupiah,USD,US Dollar,IDR,Indonesian Rupiah
ZAR/IDR,ZAR/IDR - South African Rand Indonesian Rupiah,ZAR,South African Rand,IDR,Indonesian Rupiah
ILS/IDR,ILS/IDR - Israeli Shekel Indonesian Rupiah,ILS,Israeli Shekel,IDR,Indonesian Rupiah
INR/IDR,INR/IDR - Indian Rupee Indonesian Rupiah,INR,Indian Rupee,IDR,Indonesian Rupiah
ISK/IDR,ISK/IDR - Icelandic Kr Indonesian Rupiah,ISK,Icelandic Kr,IDR,Indonesian Rupiah
MXN/IDR,MXN/IDR - Mexican Peso Indonesian Rupiah,MXN,Mexican Peso,IDR,Indonesian Rupiah
NOK/IDR,NOK/IDR - Norwegian Krone Indonesian Rupiah,NOK,Norwegian Krone,IDR,Indonesian Rupiah
PHP/IDR,PHP/IDR - Philippine Peso Indonesian Rupiah,PHP,Philippine Peso,IDR,Indonesian Rupiah
PKR/IDR,PKR/IDR - Pakistani Rupee Indonesian Rupiah,PKR,Pakistani Rupee,IDR,Indonesian Rupiah
PLN/IDR,PLN/IDR - Polish Zloty Indonesian Rupiah,PLN,Polish Zloty,IDR,Indonesian Rupiah
RUB/IDR,RUB/IDR - Russian Ruble Indonesian Rupiah,RUB,Russian Ruble,IDR,Indonesian Rupiah
SAR/IDR,SAR/IDR - Saudi Riyal Indonesian Rupiah,SAR,Saudi Riyal,IDR,Indonesian Rupiah
SEK/IDR,SEK/IDR - Swedish Krona Indonesian Rupiah,SEK,Swedish Krona,IDR,Indonesian Rupiah
TRY/IDR,TRY/IDR - Turkish Lira Indonesian Rupiah,TRY,Turkish Lira,IDR,Indonesian Rupiah
VES/IDR,VES/IDR - Venezuelan Bolivar Indonesian Rupiah,VES,Venezuelan Bolivar,IDR,Indonesian Rupiah
IDR/USD,IDR/USD - Indonesian Rupiah US Dollar,IDR,Indonesian Rupiah,USD,US Dollar
USD/ILS,USD/ILS - US Dollar Israeli Shekel,USD,US Dollar,ILS,Israeli Shekel
ILS/JPY,ILS/JPY - Israeli Shekel Japanese Yen,ILS,Israeli Shekel,JPY,Japanese Yen
JOD/ILS,JOD/ILS - Jordan Dinar Israeli Shekel,JOD,Jordan Dinar,ILS,Israeli Shekel
JPY/ILS,JPY/ILS - Japanese Yen Israeli Shekel,JPY,Japanese Yen,ILS,Israeli Shekel
ILS/INR,ILS/INR - Israeli Shekel Indian Rupee,ILS,Israeli Shekel,INR,Indian Rupee
ILS/ISK,ILS/ISK - Israeli Shekel Icelandic Kr,ILS,Israeli Shekel,ISK,Icelandic Kr
ILS/JMD,ILS/JMD - Israeli Shekel Jamaican Dollar,ILS,Israeli Shekel,JMD,Jamaican Dollar
ILS/JOD,ILS/JOD - Israeli Shekel Jordan Dinar,ILS,Israeli Shekel,JOD,Jordan Dinar
ILS/KES,ILS/KES - Israeli Shekel Kenyan Shilling,ILS,Israeli Shekel,KES,Kenyan Shilling
ILS/KRW,ILS/KRW - Israeli Shekel Korean Won,ILS,Israeli Shekel,KRW,Korean Won
ILS/LBP,ILS/LBP - Israeli Shekel Lebanese Pound,ILS,Israeli Shekel,LBP,Lebanese Pound
ILS/LKR,ILS/LKR - Israeli Shekel Sri Lankan Rupee,ILS,Israeli Shekel,LKR,Sri Lankan Rupee
ILS/MAD,ILS/MAD - Israeli Shekel Moroccan Dirham,ILS,Israeli Shekel,MAD,Moroccan Dirham
ILS/MXN,ILS/MXN - Israeli Shekel Mexican Peso,ILS,Israeli Shekel,MXN,Mexican Peso
ILS/MYR,ILS/MYR - Israeli Shekel Malaysian Ringgit,ILS,Israeli Shekel,MYR,Malaysian Ringgit
ILS/NAD,ILS/NAD - Israeli Shekel Namibian Dollar,ILS,Israeli Shekel,NAD,Namibian Dollar
ILS/NOK,ILS/NOK - Israeli Shekel Norwegian Krone,ILS,Israeli Shekel,NOK,Norwegian Krone
ILS/NPR,ILS/NPR - Israeli Shekel Nepalese Rupee,ILS,Israeli Shekel,NPR,Nepalese Rupee
ILS/NZD,ILS/NZD - Israeli Shekel New Zealand Dollar,ILS,Israeli Shekel,NZD,New Zealand Dollar
ILS/OMR,ILS/OMR - Israeli Shekel Omani Rial,ILS,Israeli Shekel,OMR,Omani Rial
ILS/PAB,ILS/PAB - Israeli Shekel Panamanian Balboa,ILS,Israeli Shekel,PAB,Panamanian Balboa
ILS/PHP,ILS/PHP - Israeli Shekel Philippine Peso,ILS,Israeli Shekel,PHP,Philippine Peso
ILS/PKR,ILS/PKR - Israeli Shekel Pakistani Rupee,ILS,Israeli Shekel,PKR,Pakistani Rupee
ILS/PLN,ILS/PLN - Israeli Shekel Polish Zloty,ILS,Israeli Shekel,PLN,Polish Zloty
ILS/QAR,ILS/QAR - Israeli Shekel Qatari Riyal,ILS,Israeli Shekel,QAR,Qatari Riyal
ILS/RON,ILS/RON - Israeli Shekel Romanian Leu,ILS,Israeli Shekel,RON,Romanian Leu
ILS/RUB,ILS/RUB - Israeli Shekel Russian Ruble,ILS,Israeli Shekel,RUB,Russian Ruble
ILS/SAR,ILS/SAR - Israeli Shekel Saudi Riyal,ILS,Israeli Shekel,SAR,Saudi Riyal
ILS/SEK,ILS/SEK - Israeli Shekel Swedish Krona,ILS,Israeli Shekel,SEK,Swedish Krona
ILS/SGD,ILS/SGD - Israeli Shekel Singapore Dollar,ILS,Israeli Shekel,SGD,Singapore Dollar
ILS/THB,ILS/THB - Israeli Shekel Thai Baht,ILS,Israeli Shekel,THB,Thai Baht
ILS/TRY,ILS/TRY - Israeli Shekel Turkish Lira,ILS,Israeli Shekel,TRY,Turkish Lira
ILS/TWD,ILS/TWD - Israeli Shekel Taiwan Dollar,ILS,Israeli Shekel,TWD,Taiwan Dollar
ILS/USD,ILS/USD - Israeli Shekel US Dollar,ILS,Israeli Shekel,USD,US Dollar
ILS/VES,ILS/VES - Israeli Shekel Venezuelan Bolivar,ILS,Israeli Shekel,VES,Venezuelan Bolivar
ILS/XAF,ILS/XAF - Israeli Shekel Central African Franc,ILS,Israeli Shekel,XAF,Central African Franc
ILS/XCD,ILS/XCD - Israeli Shekel East Caribbean Dollar,ILS,Israeli Shekel,XCD,East Caribbean Dollar
ILS/XOF,ILS/XOF - Israeli Shekel West African CFA franc,ILS,Israeli Shekel,XOF,West African CFA franc
ILS/ZAR,ILS/ZAR - Israeli Shekel South African Rand,ILS,Israeli Shekel,ZAR,South African Rand
INR/ILS,INR/ILS - Indian Rupee Israeli Shekel,INR,Indian Rupee,ILS,Israeli Shekel
MXN/ILS,MXN/ILS - Mexican Peso Israeli Shekel,MXN,Mexican Peso,ILS,Israeli Shekel
NOK/ILS,NOK/ILS - Norwegian Krone Israeli Shekel,NOK,Norwegian Krone,ILS,Israeli Shekel
NZD/ILS,NZD/ILS - New Zealand Dollar Israeli Shekel,NZD,New Zealand Dollar,ILS,Israeli Shekel
PLN/ILS,PLN/ILS - Polish Zloty Israeli Shekel,PLN,Polish Zloty,ILS,Israeli Shekel
RUB/ILS,RUB/ILS - Russian Ruble Israeli Shekel,RUB,Russian Ruble,ILS,Israeli Shekel
SAR/ILS,SAR/ILS - Saudi Riyal Israeli Shekel,SAR,Saudi Riyal,ILS,Israeli Shekel
SEK/ILS,SEK/ILS - Swedish Krona Israeli Shekel,SEK,Swedish Krona,ILS,Israeli Shekel
SGD/ILS,SGD/ILS - Singapore Dollar Israeli Shekel,SGD,Singapore Dollar,ILS,Israeli Shekel
THB/ILS,THB/ILS - Thai Baht Israeli Shekel,THB,Thai Baht,ILS,Israeli Shekel
TRY/ILS,TRY/ILS - Turkish Lira Israeli Shekel,TRY,Turkish Lira,ILS,Israeli Shekel
TWD/ILS,TWD/ILS - Taiwan Dollar Israeli Shekel,TWD,Taiwan Dollar,ILS,Israeli Shekel
VES/ILS,VES/ILS - Venezuelan Bolivar Israeli Shekel,VES,Venezuelan Bolivar,ILS,Israeli Shekel
ZAR/ILS,ZAR/ILS - South African Rand Israeli Shekel,ZAR,South African Rand,ILS,Israeli Shekel
ILS/UAH,ILS/UAH - Israeli Shekel Ukrainian Hryvnia,ILS,Israeli Shekel,UAH,Ukrainian Hryvnia
ILS/PEN,ILS/PEN - Israeli Shekel Peru Sol,ILS,Israeli Shekel,PEN,Peru Sol
ILS/UYU,ILS/UYU - Israeli Shekel Uruguayan Peso,ILS,Israeli Shekel,UYU,Uruguayan Peso
ISK/ILS,ISK/ILS - Icelandic Kr Israeli Shekel,ISK,Icelandic Kr,ILS,Israeli Shekel
KRW/ILS,KRW/ILS - Korean Won Israeli Shekel,KRW,Korean Won,ILS,Israeli Shekel
RON/ILS,RON/ILS - Romanian Leu Israeli Shekel,RON,Romanian Leu,ILS,Israeli Shekel
USD/INR,USD/INR - US Dollar Indian Rupee,USD,US Dollar,INR,Indian Rupee
INR/JPY,INR/JPY - Indian Rupee Japanese Yen,INR,Indian Rupee,JPY,Japanese Yen
INR/KRW,INR/KRW - Indian Rupee Korean Won,INR,Indian Rupee,KRW,Korean Won
INR/PKR,INR/PKR - Indian Rupee Pakistani Rupee,INR,Indian Rupee,PKR,Pakistani Rupee
INR/THB,INR/THB - Indian Rupee Thai Baht,INR,Indian Rupee,THB,Thai Baht
INR/TWD,INR/TWD - Indian Rupee Taiwan Dollar,INR,Indian Rupee,TWD,Taiwan Dollar
JPY/INR,JPY/INR - Japanese Yen Indian Rupee,JPY,Japanese Yen,INR,Indian Rupee
KRW/INR,KRW/INR - Korean Won Indian Rupee,KRW,Korean Won,INR,Indian Rupee
MYR/INR,MYR/INR - Malaysian Ringgit Indian Rupee,MYR,Malaysian Ringgit,INR,Indian Rupee
NOK/INR,NOK/INR - Norwegian Krone Indian Rupee,NOK,Norwegian Krone,INR,Indian Rupee
NZD/INR,NZD/INR - New Zealand Dollar Indian Rupee,NZD,New Zealand Dollar,INR,Indian Rupee
SEK/INR,SEK/INR - Swedish Krona Indian Rupee,SEK,Swedish Krona,INR,Indian Rupee
SGD/INR,SGD/INR - Singapore Dollar Indian Rupee,SGD,Singapore Dollar,INR,Indian Rupee
THB/INR,THB/INR - Thai Baht Indian Rupee,THB,Thai Baht,INR,Indian Rupee
TWD/INR,TWD/INR - Taiwan Dollar Indian Rupee,TWD,Taiwan Dollar,INR,Indian Rupee
ZAR/INR,ZAR/INR - South African Rand Indian Rupee,ZAR,South African Rand,INR,Indian Rupee
INR/PHP,INR/PHP - Indian Rupee Philippine Peso,INR,Indian Rupee,PHP,Philippine Peso
INR/ISK,INR/ISK - Indian Rupee Icelandic Kr,INR,Indian Rupee,ISK,Icelandic Kr
INR/JMD,INR/JMD - Indian Rupee Jamaican Dollar,INR,Indian Rupee,JMD,Jamaican Dollar
INR/KES,INR/KES - Indian Rupee Kenyan Shilling,INR,Indian Rupee,KES,Kenyan Shilling
INR/LBP,INR/LBP - Indian Rupee Lebanese Pound,INR,Indian Rupee,LBP,Lebanese Pound
INR/LKR,INR/LKR - Indian Rupee Sri Lankan Rupee,INR,Indian Rupee,LKR,Sri Lankan Rupee
INR/MAD,INR/MAD - Indian Rupee Moroccan Dirham,INR,Indian Rupee,MAD,Moroccan Dirham
INR/MXN,INR/MXN - Indian Rupee Mexican Peso,INR,Indian Rupee,MXN,Mexican Peso
INR/MYR,INR/MYR - Indian Rupee Malaysian Ringgit,INR,Indian Rupee,MYR,Malaysian Ringgit
INR/NAD,INR/NAD - Indian Rupee Namibian Dollar,INR,Indian Rupee,NAD,Namibian Dollar
INR/NOK,INR/NOK - Indian Rupee Norwegian Krone,INR,Indian Rupee,NOK,Norwegian Krone
INR/NPR,INR/NPR - Indian Rupee Nepalese Rupee,INR,Indian Rupee,NPR,Nepalese Rupee
INR/RUB,INR/RUB - Indian Rupee Russian Ruble,INR,Indian Rupee,RUB,Russian Ruble
INR/SEK,INR/SEK - Indian Rupee Swedish Krona,INR,Indian Rupee,SEK,Swedish Krona
INR/TRY,INR/TRY - Indian Rupee Turkish Lira,INR,Indian Rupee,TRY,Turkish Lira
INR/XAF,INR/XAF - Indian Rupee Central African Franc,INR,Indian Rupee,XAF,Central African Franc
INR/XOF,INR/XOF - Indian Rupee West African CFA franc,INR,Indian Rupee,XOF,West African CFA franc
INR/ZAR,INR/ZAR - Indian Rupee South African Rand,INR,Indian Rupee,ZAR,South African Rand
ISK/INR,ISK/INR - Icelandic Kr Indian Rupee,ISK,Icelandic Kr,INR,Indian Rupee
MXN/INR,MXN/INR - Mexican Peso Indian Rupee,MXN,Mexican Peso,INR,Indian Rupee
PHP/INR,PHP/INR - Philippine Peso Indian Rupee,PHP,Philippine Peso,INR,Indian Rupee
PKR/INR,PKR/INR - Pakistani Rupee Indian Rupee,PKR,Pakistani Rupee,INR,Indian Rupee
PLN/INR,PLN/INR - Polish Zloty Indian Rupee,PLN,Polish Zloty,INR,Indian Rupee
RUB/INR,RUB/INR - Russian Ruble Indian Rupee,RUB,Russian Ruble,INR,Indian Rupee
SAR/INR,SAR/INR - Saudi Riyal Indian Rupee,SAR,Saudi Riyal,INR,Indian Rupee
TRY/INR,TRY/INR - Turkish Lira Indian Rupee,TRY,Turkish Lira,INR,Indian Rupee
VES/INR,VES/INR - Venezuelan Bolivar Indian Rupee,VES,Venezuelan Bolivar,INR,Indian Rupee
INR/USD,INR/USD - Indian Rupee US Dollar,INR,Indian Rupee,USD,US Dollar
INR/RUB,INR/RUB - Indian Rupee Russian Ruble,INR,Indian Rupee,RUB,Russian Ruble
USD/IQD,USD/IQD - US Dollar Iraqi Dinar,USD,US Dollar,IQD,Iraqi Dinar
IQD/USD,IQD/USD - Iraqi Dinar US Dollar,IQD,Iraqi Dinar,USD,US Dollar
USD/IRR,USD/IRR - US Dollar Iranian Rial,USD,US Dollar,IRR,Iranian Rial
IRR/USD,IRR/USD - Iranian Rial US Dollar,IRR,Iranian Rial,USD,US Dollar
SEK/ISK,SEK/ISK - Swedish Krona Icelandic Kr,SEK,Swedish Krona,ISK,Icelandic Kr
USD/ISK,USD/ISK - US Dollar Icelandic Kr,USD,US Dollar,ISK,Icelandic Kr
ISK/JPY,ISK/JPY - Icelandic Kr Japanese Yen,ISK,Icelandic Kr,JPY,Japanese Yen
ISK/KRW,ISK/KRW - Icelandic Kr Korean Won,ISK,Icelandic Kr,KRW,Korean Won
ISK/PHP,ISK/PHP - Icelandic Kr Philippine Peso,ISK,Icelandic Kr,PHP,Philippine Peso
ISK/PKR,ISK/PKR - Icelandic Kr Pakistani Rupee,ISK,Icelandic Kr,PKR,Pakistani Rupee
ISK/RUB,ISK/RUB - Icelandic Kr Russian Ruble,ISK,Icelandic Kr,RUB,Russian Ruble
ISK/THB,ISK/THB - Icelandic Kr Thai Baht,ISK,Icelandic Kr,THB,Thai Baht
ISK/XAF,ISK/XAF - Icelandic Kr Central African Franc,ISK,Icelandic Kr,XAF,Central African Franc
ISK/JMD,ISK/JMD - Icelandic Kr Jamaican Dollar,ISK,Icelandic Kr,JMD,Jamaican Dollar
ISK/KES,ISK/KES - Icelandic Kr Kenyan Shilling,ISK,Icelandic Kr,KES,Kenyan Shilling
ISK/LKR,ISK/LKR - Icelandic Kr Sri Lankan Rupee,ISK,Icelandic Kr,LKR,Sri Lankan Rupee
ISK/LBP,ISK/LBP - Icelandic Kr Lebanese Pound,ISK,Icelandic Kr,LBP,Lebanese Pound
ISK/NPR,ISK/NPR - Icelandic Kr Nepalese Rupee,ISK,Icelandic Kr,NPR,Nepalese Rupee
ISK/XOF,ISK/XOF - Icelandic Kr West African CFA franc,ISK,Icelandic Kr,XOF,West African CFA franc
JPY/ISK,JPY/ISK - Japanese Yen Icelandic Kr,JPY,Japanese Yen,ISK,Icelandic Kr
MXN/ISK,MXN/ISK - Mexican Peso Icelandic Kr,MXN,Mexican Peso,ISK,Icelandic Kr
NOK/ISK,NOK/ISK - Norwegian Krone Icelandic Kr,NOK,Norwegian Krone,ISK,Icelandic Kr
NZD/ISK,NZD/ISK - New Zealand Dollar Icelandic Kr,NZD,New Zealand Dollar,ISK,Icelandic Kr
PHP/ISK,PHP/ISK - Philippine Peso Icelandic Kr,PHP,Philippine Peso,ISK,Icelandic Kr
PKR/ISK,PKR/ISK - Pakistani Rupee Icelandic Kr,PKR,Pakistani Rupee,ISK,Icelandic Kr
PLN/ISK,PLN/ISK - Polish Zloty Icelandic Kr,PLN,Polish Zloty,ISK,Icelandic Kr
RUB/ISK,RUB/ISK - Russian Ruble Icelandic Kr,RUB,Russian Ruble,ISK,Icelandic Kr
SAR/ISK,SAR/ISK - Saudi Riyal Icelandic Kr,SAR,Saudi Riyal,ISK,Icelandic Kr
SGD/ISK,SGD/ISK - Singapore Dollar Icelandic Kr,SGD,Singapore Dollar,ISK,Icelandic Kr
THB/ISK,THB/ISK - Thai Baht Icelandic Kr,THB,Thai Baht,ISK,Icelandic Kr
TRY/ISK,TRY/ISK - Turkish Lira Icelandic Kr,TRY,Turkish Lira,ISK,Icelandic Kr
TWD/ISK,TWD/ISK - Taiwan Dollar Icelandic Kr,TWD,Taiwan Dollar,ISK,Icelandic Kr
VES/ISK,VES/ISK - Venezuelan Bolivar Icelandic Kr,VES,Venezuelan Bolivar,ISK,Icelandic Kr
ZAR/ISK,ZAR/ISK - South African Rand Icelandic Kr,ZAR,South African Rand,ISK,Icelandic Kr
USD/JMD,USD/JMD - US Dollar Jamaican Dollar,USD,US Dollar,JMD,Jamaican Dollar
JPY/JMD,JPY/JMD - Japanese Yen Jamaican Dollar,JPY,Japanese Yen,JMD,Jamaican Dollar
MXN/JMD,MXN/JMD - Mexican Peso Jamaican Dollar,MXN,Mexican Peso,JMD,Jamaican Dollar
NOK/JMD,NOK/JMD - Norwegian Krone Jamaican Dollar,NOK,Norwegian Krone,JMD,Jamaican Dollar
NZD/JMD,NZD/JMD - New Zealand Dollar Jamaican Dollar,NZD,New Zealand Dollar,JMD,Jamaican Dollar
PHP/JMD,PHP/JMD - Philippine Peso Jamaican Dollar,PHP,Philippine Peso,JMD,Jamaican Dollar
PKR/JMD,PKR/JMD - Pakistani Rupee Jamaican Dollar,PKR,Pakistani Rupee,JMD,Jamaican Dollar
PLN/JMD,PLN/JMD - Polish Zloty Jamaican Dollar,PLN,Polish Zloty,JMD,Jamaican Dollar
RUB/JMD,RUB/JMD - Russian Ruble Jamaican Dollar,RUB,Russian Ruble,JMD,Jamaican Dollar
SAR/JMD,SAR/JMD - Saudi Riyal Jamaican Dollar,SAR,Saudi Riyal,JMD,Jamaican Dollar
SEK/JMD,SEK/JMD - Swedish Krona Jamaican Dollar,SEK,Swedish Krona,JMD,Jamaican Dollar
SGD/JMD,SGD/JMD - Singapore Dollar Jamaican Dollar,SGD,Singapore Dollar,JMD,Jamaican Dollar
THB/JMD,THB/JMD - Thai Baht Jamaican Dollar,THB,Thai Baht,JMD,Jamaican Dollar
TRY/JMD,TRY/JMD - Turkish Lira Jamaican Dollar,TRY,Turkish Lira,JMD,Jamaican Dollar
TWD/JMD,TWD/JMD - Taiwan Dollar Jamaican Dollar,TWD,Taiwan Dollar,JMD,Jamaican Dollar
VES/JMD,VES/JMD - Venezuelan Bolivar Jamaican Dollar,VES,Venezuelan Bolivar,JMD,Jamaican Dollar
ZAR/JMD,ZAR/JMD - South African Rand Jamaican Dollar,ZAR,South African Rand,JMD,Jamaican Dollar
USD/JOD,USD/JOD - US Dollar Jordan Dinar,USD,US Dollar,JOD,Jordan Dinar
NOK/JOD,NOK/JOD - Norwegian Krone Jordan Dinar,NOK,Norwegian Krone,JOD,Jordan Dinar
NZD/JOD,NZD/JOD - New Zealand Dollar Jordan Dinar,NZD,New Zealand Dollar,JOD,Jordan Dinar
PLN/JOD,PLN/JOD - Polish Zloty Jordan Dinar,PLN,Polish Zloty,JOD,Jordan Dinar
SAR/JOD,SAR/JOD - Saudi Riyal Jordan Dinar,SAR,Saudi Riyal,JOD,Jordan Dinar
SEK/JOD,SEK/JOD - Swedish Krona Jordan Dinar,SEK,Swedish Krona,JOD,Jordan Dinar
SGD/JOD,SGD/JOD - Singapore Dollar Jordan Dinar,SGD,Singapore Dollar,JOD,Jordan Dinar
TRY/JOD,TRY/JOD - Turkish Lira Jordan Dinar,TRY,Turkish Lira,JOD,Jordan Dinar
TWD/JOD,TWD/JOD - Taiwan Dollar Jordan Dinar,TWD,Taiwan Dollar,JOD,Jordan Dinar
VES/JOD,VES/JOD - Venezuelan Bolivar Jordan Dinar,VES,Venezuelan Bolivar,JOD,Jordan Dinar
ZAR/JOD,ZAR/JOD - South African Rand Jordan Dinar,ZAR,South African Rand,JOD,Jordan Dinar
JOD/JPY,JOD/JPY - Jordan Dinar Japanese Yen,JOD,Jordan Dinar,JPY,Japanese Yen
JOD/KWD,JOD/KWD - Jordan Dinar Kuwaiti Dinar,JOD,Jordan Dinar,KWD,Kuwaiti Dinar
JPY/JOD,JPY/JOD - Japanese Yen Jordan Dinar,JPY,Japanese Yen,JOD,Jordan Dinar
KWD/JOD,KWD/JOD - Kuwaiti Dinar Jordan Dinar,KWD,Kuwaiti Dinar,JOD,Jordan Dinar
JOD/USD,JOD/USD - Jordan Dinar US Dollar,JOD,Jordan Dinar,USD,US Dollar
JOD/SAR,JOD/SAR - Jordan Dinar Saudi Riyal,JOD,Jordan Dinar,SAR,Saudi Riyal
USD/JPY,USD/JPY - US Dollar Japanese Yen,USD,US Dollar,JPY,Japanese Yen
NZD/JPY,NZD/JPY - New Zealand Dollar Japanese Yen,NZD,New Zealand Dollar,JPY,Japanese Yen
NOK/JPY,NOK/JPY - Norwegian Krone Japanese Yen,NOK,Norwegian Krone,JPY,Japanese Yen
PLN/JPY,PLN/JPY - Polish Zloty Japanese Yen,PLN,Polish Zloty,JPY,Japanese Yen
TRY/JPY,TRY/JPY - Turkish Lira Japanese Yen,TRY,Turkish Lira,JPY,Japanese Yen
THB/JPY,THB/JPY - Thai Baht Japanese Yen,THB,Thai Baht,JPY,Japanese Yen
ZAR/JPY,ZAR/JPY - South African Rand Japanese Yen,ZAR,South African Rand,JPY,Japanese Yen
MXN/JPY,MXN/JPY - Mexican Peso Japanese Yen,MXN,Mexican Peso,JPY,Japanese Yen
SEK/JPY,SEK/JPY - Swedish Krona Japanese Yen,SEK,Swedish Krona,JPY,Japanese Yen
SGD/JPY,SGD/JPY - Singapore Dollar Japanese Yen,SGD,Singapore Dollar,JPY,Japanese Yen
JPY/KRW,JPY/KRW - Japanese Yen Korean Won,JPY,Japanese Yen,KRW,Korean Won
JPY/MXN,JPY/MXN - Japanese Yen Mexican Peso,JPY,Japanese Yen,MXN,Mexican Peso
JPY/MYR,JPY/MYR - Japanese Yen Malaysian Ringgit,JPY,Japanese Yen,MYR,Malaysian Ringgit
JPY/NOK,JPY/NOK - Japanese Yen Norwegian Krone,JPY,Japanese Yen,NOK,Norwegian Krone
JPY/NZD,JPY/NZD - Japanese Yen New Zealand Dollar,JPY,Japanese Yen,NZD,New Zealand Dollar
JPY/PKR,JPY/PKR - Japanese Yen Pakistani Rupee,JPY,Japanese Yen,PKR,Pakistani Rupee
JPY/PLN,JPY/PLN - Japanese Yen Polish Zloty,JPY,Japanese Yen,PLN,Polish Zloty
JPY/SEK,JPY/SEK - Japanese Yen Swedish Krona,JPY,Japanese Yen,SEK,Swedish Krona
JPY/THB,JPY/THB - Japanese Yen Thai Baht,JPY,Japanese Yen,THB,Thai Baht
JPY/TWD,JPY/TWD - Japanese Yen Taiwan Dollar,JPY,Japanese Yen,TWD,Taiwan Dollar
JPY/USD,JPY/USD - Japanese Yen US Dollar,JPY,Japanese Yen,USD,US Dollar
JPY/ZAR,JPY/ZAR - Japanese Yen South African Rand,JPY,Japanese Yen,ZAR,South African Rand
KRW/JPY,KRW/JPY - Korean Won Japanese Yen,KRW,Korean Won,JPY,Japanese Yen
MYR/JPY,MYR/JPY - Malaysian Ringgit Japanese Yen,MYR,Malaysian Ringgit,JPY,Japanese Yen
TWD/JPY,TWD/JPY - Taiwan Dollar Japanese Yen,TWD,Taiwan Dollar,JPY,Japanese Yen
JPY/KES,JPY/KES - Japanese Yen Kenyan Shilling,JPY,Japanese Yen,KES,Kenyan Shilling
JPY/LBP,JPY/LBP - Japanese Yen Lebanese Pound,JPY,Japanese Yen,LBP,Lebanese Pound
JPY/LKR,JPY/LKR - Japanese Yen Sri Lankan Rupee,JPY,Japanese Yen,LKR,Sri Lankan Rupee
JPY/NPR,JPY/NPR - Japanese Yen Nepalese Rupee,JPY,Japanese Yen,NPR,Nepalese Rupee
JPY/PHP,JPY/PHP - Japanese Yen Philippine Peso,JPY,Japanese Yen,PHP,Philippine Peso
JPY/RUB,JPY/RUB - Japanese Yen Russian Ruble,JPY,Japanese Yen,RUB,Russian Ruble
JPY/XAF,JPY/XAF - Japanese Yen Central African Franc,JPY,Japanese Yen,XAF,Central African Franc
JPY/XOF,JPY/XOF - Japanese Yen West African CFA franc,JPY,Japanese Yen,XOF,West African CFA franc
PHP/JPY,PHP/JPY - Philippine Peso Japanese Yen,PHP,Philippine Peso,JPY,Japanese Yen
PKR/JPY,PKR/JPY - Pakistani Rupee Japanese Yen,PKR,Pakistani Rupee,JPY,Japanese Yen
RUB/JPY,RUB/JPY - Russian Ruble Japanese Yen,RUB,Russian Ruble,JPY,Japanese Yen
SAR/JPY,SAR/JPY - Saudi Riyal Japanese Yen,SAR,Saudi Riyal,JPY,Japanese Yen
VES/JPY,VES/JPY - Venezuelan Bolivar Japanese Yen,VES,Venezuelan Bolivar,JPY,Japanese Yen
JPY/KWD,JPY/KWD - Japanese Yen Kuwaiti Dinar,JPY,Japanese Yen,KWD,Kuwaiti Dinar
JPY/SAR,JPY/SAR - Japanese Yen Saudi Riyal,JPY,Japanese Yen,SAR,Saudi Riyal
JPY/SGD,JPY/SGD - Japanese Yen Singapore Dollar,JPY,Japanese Yen,SGD,Singapore Dollar
KWD/JPY,KWD/JPY - Kuwaiti Dinar Japanese Yen,KWD,Kuwaiti Dinar,JPY,Japanese Yen
JPY/UAH,JPY/UAH - Japanese Yen Ukrainian Hryvnia,JPY,Japanese Yen,UAH,Ukrainian Hryvnia
JPY/TRY,JPY/TRY - Japanese Yen Turkish Lira,JPY,Japanese Yen,TRY,Turkish Lira
JPY/RUB,JPY/RUB - Japanese Yen Russian Ruble,JPY,Japanese Yen,RUB,Russian Ruble
