country,name,full_name,symbol,issuer,isin,asset_class,underlying
netherlands,GS Put 1.15779 USD EUR/USD 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 1.15779 USD EUR/USD 31Dec99,NL0013230766,,,,
netherlands,GS Call 2680 EUR STOXX 50 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 2680 EUR EURO STOXX 50 31Dec99,NL0011602669,,,,
netherlands,GS Put 192 EUR SBM OFFSHORE 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 19.2 EUR SBM OFFSHORE 31Dec99,NL0011230149,,,,
netherlands,GS Call 36 ICE BRENT 07/16 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 36 USD ICE BRENT 07/16 31Dec99,NL0011727763,,,,
netherlands,BNP Put 3106BASIC-FIT NV 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 31.06 EUR BASIC-FIT NV 31Dec99,NL0013281926,,,,
netherlands,BNP Put 2389ARCELORMITTAL 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 23.89 EUR ARCELORMITTAL 31Dec99,NL0013161193,,,,
netherlands,BNP Put 10523Galapagos NV 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 105.23 EUR Galapagos NV 31Dec99,NL0013169063,,,,
netherlands,BNP Put 909 USD QUALCOMM INC 31Dec9,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 90.9 USD QUALCOMM INC 31Dec99,NL0012020440,,,,
netherlands,BNP Put 6498 EUR TAKEAWAYCOM 31Dec9,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 64.98 EUR TAKEAWAY.COM 31Dec99,NL0013282627,,,,
netherlands,GS Put 825946 EUR AKZO NOBEL 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Put 82.5946 EUR AKZO NOBEL 31Dec99,NL0013085319,,,,
netherlands,GS Call 9224 USD GOLD FIXING 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 922.4 USD GOLD FIXING 31Dec99,NL0011417688,,,,
netherlands,GS Call 464 EUR KBC GROEP NV 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 46.4 EUR KBC GROEP NV 31Dec99,NL0011934724,,,,
netherlands,GS Call 452 EUR DAIMLER BENZ 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 45.2 EUR DAIMLER BENZ 31Dec99,NL0011049622,,,,
